,game_id,matchday,team_homes,team_aways,p_home_win,p_away_win,p_draw,p_home_score,p_away_score
278,2229204,31,Atalanta,Napoli,32.98,32.88,34.14,"[0.412, 0.36700000000000005, 0.159, 0.04800000000000001, 0.011, 0.002]","[0.415, 0.36400000000000005, 0.159, 0.04800000000000001, 0.011, 0.002]"
279,2229205,31,Fiorentina,Empoli,27.4,27.77,44.83,"[0.591, 0.31100000000000005, 0.08100000000000002, 0.014000000000000002, 0.002, 0.0]","[0.5890000000000001, 0.30700000000000005, 0.08600000000000001, 0.015, 0.002, 0.0]"
280,2229206,31,Verona,Genoa,30.92,30.16,38.92,"[0.501, 0.347, 0.12100000000000001, 0.026, 0.004, 0.0]","[0.507, 0.341, 0.11800000000000001, 0.028, 0.005, 0.0]"
281,2229207,31,Juventus,Inter,36.19,36.15,27.66,"[0.29800000000000004, 0.364, 0.212, 0.09, 0.027000000000000003, 0.005]","[0.29800000000000004, 0.36, 0.219, 0.086, 0.026000000000000002, 0.007]"
282,2229208,31,Lazio,Sassuolo,37.88,37.12,25.0,"[0.245, 0.34299999999999997, 0.24200000000000002, 0.111, 0.04000000000000001, 0.011]","[0.244, 0.35, 0.24200000000000002, 0.11, 0.036000000000000004, 0.010000000000000002]"
283,2229209,31,Milan,Bologna,29.23,28.73,42.04,"[0.545, 0.329, 0.10099999999999999, 0.019000000000000003, 0.003, 0.0]","[0.546, 0.33299999999999996, 0.097, 0.019000000000000003, 0.002, 0.0]"
284,2229210,31,Salernitana,Torino,30.3,30.29,39.4,"[0.507, 0.343, 0.11900000000000001, 0.024999999999999998, 0.004, 0.0]","[0.504, 0.348, 0.116, 0.026, 0.004, 0.0]"
285,2229211,31,Sampdoria,Roma,37.53,37.81,24.66,"[0.221, 0.334, 0.25, 0.125, 0.048, 0.016]","[0.226, 0.327, 0.24900000000000003, 0.13, 0.05, 0.012]"
286,2229212,31,Spezia,Venezia,26.03,25.89,48.08,"[0.625, 0.29200000000000004, 0.07, 0.010000000000000002, 0.001, 0.0]","[0.623, 0.29400000000000004, 0.07100000000000001, 0.009000000000000001, 0.001, 0.0]"
287,2229213,31,Udinese,Cagliari,31.49,31.85,36.67,"[0.47600000000000003, 0.34900000000000003, 0.133, 0.032, 0.008, 0.0]","[0.47200000000000003, 0.35500000000000004, 0.131, 0.033, 0.006, 0.001]"
288,2229214,32,Bologna,Sampdoria,30.06,29.62,40.31,"[0.523, 0.34199999999999997, 0.107, 0.024, 0.003, 0.0]","[0.528, 0.33799999999999997, 0.106, 0.024, 0.003, 0.0]"
289,2229215,32,Cagliari,Juventus,34.23,35.53,30.24,"[0.34900000000000003, 0.37500000000000006, 0.18600000000000003, 0.069, 0.016, 0.003]","[0.34600000000000003, 0.36900000000000005, 0.19600000000000004, 0.065, 0.018000000000000002, 0.004]"
290,2229216,32,Empoli,Spezia,27.23,26.78,45.99,"[0.6020000000000001, 0.30600000000000005, 0.07500000000000001, 0.013000000000000001, 0.001, 0.0]","[0.605, 0.30200000000000005, 0.07600000000000001, 0.013000000000000001, 0.001, 0.0]"
291,2229217,32,Genoa,Lazio,34.59,35.14,30.26,"[0.36300000000000004, 0.36500000000000005, 0.18700000000000003, 0.063, 0.017, 0.003]","[0.35900000000000004, 0.36300000000000004, 0.19200000000000003, 0.066, 0.016, 0.002]"
292,2229218,32,Inter,Verona,30.8,31.44,37.76,"[0.48700000000000004, 0.35200000000000004, 0.12400000000000001, 0.030000000000000002, 0.005, 0.0]","[0.48600000000000004, 0.34700000000000003, 0.13, 0.030000000000000002, 0.005, 0.0]"
293,2229219,32,Napoli,Fiorentina,37.2,37.28,25.52,"[0.25, 0.343, 0.24300000000000002, 0.106, 0.04, 0.010000000000000002]","[0.249, 0.342, 0.24200000000000002, 0.11, 0.03900000000000001, 0.010000000000000002]"
294,2229220,32,Roma,Salernitana,30.89,30.34,38.77,"[0.504, 0.344, 0.12100000000000001, 0.027, 0.004, 0.001]","[0.509, 0.34099999999999997, 0.11800000000000001, 0.027, 0.005, 0.001]"
295,2229221,32,Sassuolo,Atalanta,32.88,32.88,34.24,"[0.434, 0.36000000000000004, 0.15, 0.043000000000000003, 0.010000000000000002, 0.001]","[0.433, 0.35900000000000004, 0.154, 0.043000000000000003, 0.008, 0.001]"
296,2229222,32,Torino,Milan,36.15,36.0,27.84,"[0.31000000000000005, 0.35800000000000004, 0.21600000000000003, 0.084, 0.025, 0.005]","[0.30900000000000005, 0.35800000000000004, 0.21500000000000002, 0.084, 0.026, 0.006]"
297,2229223,32,Venezia,Udinese,32.95,33.23,33.83,"[0.428, 0.35900000000000004, 0.156, 0.046, 0.009000000000000001, 0.002]","[0.428, 0.36300000000000004, 0.153, 0.045000000000000005, 0.010000000000000002, 0.001]"
298,2229224,33,Atalanta,Verona,31.14,31.0,37.85,"[0.48700000000000004, 0.34700000000000003, 0.128, 0.031000000000000003, 0.006, 0.001]","[0.48600000000000004, 0.35000000000000003, 0.129, 0.030000000000000002, 0.005, 0.0]"
299,2229225,33,Cagliari,Sassuolo,37.49,37.13,25.37,"[0.24700000000000003, 0.345, 0.23800000000000002, 0.112, 0.038, 0.012]","[0.252, 0.341, 0.24300000000000002, 0.109, 0.039, 0.008]"
300,2229226,33,Fiorentina,Venezia,27.64,28.95,43.41,"[0.5810000000000001, 0.31300000000000006, 0.087, 0.016, 0.002, 0.0]","[0.5690000000000001, 0.32200000000000006, 0.09, 0.016, 0.002, 0.0]"
301,2229227,33,Juventus,Bologna,28.59,28.9,42.51,"[0.548, 0.33099999999999996, 0.09699999999999999, 0.019000000000000003, 0.003, 0.0]","[0.55, 0.32999999999999996, 0.09899999999999999, 0.017, 0.002, 0.0]"
302,2229228,33,Lazio,Torino,31.47,31.95,36.58,"[0.468, 0.35800000000000004, 0.134, 0.034, 0.006, 0.001]","[0.467, 0.35300000000000004, 0.137, 0.036, 0.007, 0.001]"
303,2229229,33,Milan,Genoa,31.92,31.54,36.54,"[0.46900000000000003, 0.35200000000000004, 0.136, 0.034, 0.007, 0.001]","[0.46900000000000003, 0.35700000000000004, 0.132, 0.034, 0.007, 0.0]"
304,2229230,33,Napoli,Roma,36.43,37.44,26.13,"[0.263, 0.355, 0.231, 0.105, 0.034, 0.008]","[0.258, 0.35, 0.23700000000000002, 0.104, 0.036000000000000004, 0.011000000000000003]"
305,2229231,33,Sampdoria,Salernitana,27.94,28.12,43.94,"[0.5800000000000001, 0.31400000000000006, 0.08700000000000001, 0.016, 0.002, 0.0]","[0.5790000000000001, 0.31500000000000006, 0.08700000000000001, 0.016, 0.002, 0.0]"
306,2229232,33,Spezia,Inter,36.2,37.1,26.7,"[0.28500000000000003, 0.349, 0.228, 0.09799999999999999, 0.029, 0.008]","[0.274, 0.359, 0.229, 0.096, 0.031999999999999994, 0.007]"
307,2229233,33,Udinese,Empoli,18.85,18.61,62.54,"[0.759, 0.20900000000000002, 0.03, 0.003, 0.0, 0.0]","[0.763, 0.20700000000000002, 0.028, 0.003, 0.0, 0.0]"
308,2229234,34,Bologna,Udinese,35.07,34.92,30.01,"[0.35900000000000004, 0.36600000000000005, 0.18800000000000003, 0.067, 0.017, 0.002]","[0.35800000000000004, 0.36700000000000005, 0.18700000000000003, 0.065, 0.019000000000000003, 0.003]"
309,2229235,34,Empoli,Napoli,33.83,33.34,32.82,"[0.399, 0.36900000000000005, 0.168, 0.048, 0.012, 0.002]","[0.406, 0.36600000000000005, 0.165, 0.048, 0.01, 0.003]"
310,2229236,34,Genoa,Cagliari,28.43,29.6,41.97,"[0.547, 0.33199999999999996, 0.09599999999999999, 0.019999999999999997, 0.003, 0.0]","[0.538, 0.33699999999999997, 0.09999999999999999, 0.019999999999999997, 0.003, 0.0]"
311,2229237,34,Verona,Sampdoria,31.59,30.96,37.45,"[0.48200000000000004, 0.34800000000000003, 0.132, 0.031, 0.006, 0.0]","[0.48700000000000004, 0.34700000000000003, 0.13, 0.029, 0.006, 0.0]"
312,2229238,34,Inter,Roma,31.62,31.85,36.53,"[0.457, 0.36000000000000004, 0.137, 0.036, 0.007, 0.001]","[0.453, 0.36400000000000005, 0.138, 0.037, 0.005, 0.001]"
313,2229239,34,Lazio,Milan,35.48,34.71,29.82,"[0.34900000000000003, 0.36500000000000005, 0.19800000000000004, 0.068, 0.016, 0.004]","[0.35300000000000004, 0.36900000000000005, 0.19400000000000003, 0.06199999999999999, 0.018000000000000002, 0.004]"
